Object, RefMetadataComponentId, RefMetadataComponentName, RefMetadataComponentNamespace, RefMetadataComponentType,ApexClass,ApexPage,CustomField,FieldSet,FlexiPage,Flow,Layout,LookupFilter,ValidationRule,WebLink,WorkflowFieldUpdate
Account,00N4O000006Y9rmUAC,TPM_Market_Channel_Description,null,CustomField,X,X,,,,,,,,,
Account,00N4O000006Y9roUAC,TPM_Market_Description,null,CustomField,X,X,,,,,,,,,
Account,00N4O000006Y9rpUAC,TPM_NCF_Flag,null,CustomField,X,,X,X,,,,,X,,
Account,00N4O000006Y9rqUAC,TPM_Planning_Level,null,CustomField,X,,,,,,,,,,
Account,00N4O000006Y9rrUAC,TPM_Region_Code,null,CustomField,X,,,,,,,,,,
Account,00N4O000006Y9rsUAC,TPM_Region,null,CustomField,X,,,,,,,,,,
Account,00N4O000006Y9rtUAC,TPM_SalesGroupCode,null,CustomField,,,,,,,,,,,
Account,00N4O000006Y9ruUAC,TPM_SalesGroupDescription,null,CustomField,X,X,,,,,,,,,
Account,00N4O000006Y9rvUAC,TPM_SalesOfficeCode,null,CustomField,X,,,,,,,,,,
Account,00N4O000006Y9rwUAC,TPM_SalesOfficeDescription,null,CustomField,X,X,,,,,X,,,,
Account,00N4O000006Y9rzUAC,TPM_Sales_Organization,null,CustomField,X,,X,,,,X,,,,X
Account,00N4O000006Y9s1UAC,TPM_SalesmanDescription,null,CustomField,,,,,,,,,,,
Account,00N4O000006Y9s3UAC,TPM_SubDivisonDescription,null,CustomField,,,,,,,,,,,
Account,00N4O000006Y9s5UAC,TPM_Territory_Description,null,CustomField,,,,,,,,,,,
Account,00N4O000006Y9s6UAC,TPM_Total_Customer_External_ID,null,CustomField,X,,,,,,,,,,
Account,00N4O000006Y9s7UAC,TPM_VIP,null,CustomField,X,,,,,,,,,,
Account,00N4O000006YA4LUAW,TPM_Planning_Level_Rollup,null,CustomField,,,,,,,,X,,,
Account,00N4O000006YWFwUAO,TPM_CustomerType,null,CustomField,,,,,,,,,,,
Account,00N4O000006pnT9UAI,SPL_AbrasRanking,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTAUAY,SPL_AcceptsDisplay,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTBUAY,SPL_AcceptsTaticalMaterial,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTCUAY,SPL_AssistanceScale,null,CustomField,X,,,,,,X,,,,
Account,00N4O000006pnTDUAY,SPL_Association,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTEUAY,SPL_BannerAccount,null,CustomField,X,,X,,,,X,,,,
Account,00N4O000006pnTFUAY,SPL_BannerCode,null,CustomField,X,,,,,,X,,,,
Account,00N4O000006pnTGUAY,SPL_BaseCloser,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTHUAY,SPL_BrazilPostalCode,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTIUAY,SPL_CNPJMatrix,null,CustomField,X,,,,,,,,,,
Account,00N4O000006pnTJUAY,SPL_CVACode,null,CustomField,X,,X,,,X,X,,,,
Account,00N4O000006pnTKUAY,SPL_CVA,null,CustomField,X,,,,,X,X,,,,
Account,00N4O000006pnTLUAY,SPL_ChannelCode,null,CustomField,,,,,,,,,,,
Account,00N4O000006pnTMUAY,SPL_ChannelSort,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTNUAY,SPL_City,null,CustomField,X,,X,,,X,X,,,,
Account,00N4O000006pnTOUAY,SPL_CodeAssosiation,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTPUAY,SPL_CodeDivision,null,CustomField,,,,,,,,,,,
Account,00N4O000006pnTQUAY,SPL_CodePortalExecute,null,CustomField,X,,,,,,X,,,,
Account,00N4O000006pnTRUAY,SPL_CodeRegionSort,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTSUAY,SPL_CodeRegion,null,CustomField,X,,,,,X,X,,,,
Account,00N4O000006pnTTUAY,SPL_CodeSort,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTUUAY,SPL_CodeStatus,null,CustomField,,,,,,,,,,,
Account,00N4O000006pnTVUAY,SPL_CodeSubChannelSort,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTWUAY,SPL_CodeSubDivision,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTXUAY,SPL_CodeSubTerritoryMerchandising,null,CustomField,X,,,,,,,,,,
Account,00N4O000006pnTYUAY,SPL_Comments,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTZUAY,SPL_Complement,null,CustomField,X,,,,,,X,,,,
Account,00N4O000006pnTaUAI,SPL_ContactEmail,null,CustomField,X,,,,,,X,,,,
Account,00N4O000006pnTbUAI,SPL_ContactName,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTcUAI,SPL_CountryAccount,null,CustomField,X,,,,,,X,,,,
Account,00N4O000006pnTdUAI,SPL_CountryCode,null,CustomField,X,,,,,X,X,,,,
Account,00N4O000006pnTeUAI,SPL_CustomerGroupCode,null,CustomField,,,,,,,,,,,
Account,00N4O000006pnTfUAI,SPL_CustomerGroupDescription,null,CustomField,,,,,,,,,,,
Account,00N4O000006pnTgUAI,SPL_DayToReceiveMaterial,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnThUAI,SPL_Deallocated,null,CustomField,X,,,,,,X,,,,
Account,00N4O000006pnTiUAI,SPL_DistrictBR,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTjUAI,SPL_Division,null,CustomField,,,,,,,,,,,
Account,00N4O000006pnTkUAI,SPL_EstablishmentNumber,null,CustomField,X,,,,,,X,,,,
Account,00N4O000006pnTlUAI,SPL_FantasyName,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTmUAI,SPL_FutureKey,null,CustomField,X,,,,,,,,,,
Account,00N4O000006pnTnUAI,SPL_GeneralStatus,null,CustomField,,,,,,,,,,,
Account,00N4O000006pnToUAI,SPL_HoldingAccount,null,CustomField,X,,,,,,X,,,,
Account,00N4O000006pnTpUAI,SPL_HoldingCode,null,CustomField,X,,,,,X,X,,,,
Account,00N4O000006pnTqUAI,SPL_InativationDate,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTrUAI,SPL_KibonCVA,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTsUAI,SPL_KibonDistrict,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTtUAI,SPL_KibonRegional,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTuUAI,SPL_KibonTerritory,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTvUAI,SPL_Latitude,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTwUAI,SPL_Longitude,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnTxUAI,SPL_MarketChannelCode,null,CustomField,X,,,,,X,X,,,,
Account,00N4O000006pnTyUAI,SPL_MarketChannel,null,CustomField,X,,X,,,X,X,,,,
Account,00N4O000006pnTzUAI,SPL_MarketCode,null,CustomField,X,,,,,,X,,,,
Account,00N4O000006pnU0UAI,SPL_MarketHierarchy,null,CustomField,X,,,,,,X,,,,
Account,00N4O000006pnU1UAI,SPL_MarketSegmentCode,null,CustomField,X,,,,,X,X,,,,
Account,00N4O000006pnU2UAI,SPL_MarketSegment,null,CustomField,X,,,,,X,X,,,,
Account,00N4O000006pnU3UAI,SPL_MerchandisingDistrict,null,CustomField,,,,,,,,,,,
Account,00N4O000006pnU4UAI,SPL_MerchandisingService,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnU5UAI,SPL_MerchandisingStatus,null,CustomField,X,,X,,,,X,,,,
Account,00N4O000006pnU6UAI,SPL_MicroRegion,null,CustomField,X,,X,,,X,X,,,,
Account,00N4O000006pnU7UAI,SPL_Neighborhood,null,CustomField,X,,X,,,X,X,,,,
Account,00N4O000006pnU8UAI,SPL_OpenDate,null,CustomField,X,,,,,,X,,,,
Account,00N4O000006pnU9UAI,SPL_PostalCode,null,CustomField,X,,X,,,X,X,,,,
Account,00N4O000006pnUAUAY,SPL_RegionSort,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnUBUAY,SPL_RegionalCode,null,CustomField,X,,X,,,,X,,,,
Account,00N4O000006pnUCUAY,SPL_RegionalDistrict,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnUDUAY,SPL_RegionalSales,null,CustomField,X,,X,,,,X,,,X,
Account,00N4O000006pnUEUAY,SPL_RegionalTerritory,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnUFUAY,SPL_SAPCode,null,CustomField,X,,X,,,,X,,,,
Account,00N4O000006pnUGUAY,SPL_SHEComments,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnUHUAY,SPL_SHERisk,null,CustomField,,,,,,,X,,,,
Account,00N4O000006pnUIUAY,SPL_SalesBranch,null,CustomField,,,,,,,,,,,
